index;Ranking medalhas paralimpíadas;Países;Ouro paralimpíadas;Prata paralimpíadas;Bronze paralimpíadas;Total medalhas paralimpíadas;NOCCode
137;87;Moldávia;0;0;0;0
138;87;Nepal;0;0;0;0
139;87;Nicáragua;0;0;0;0
140;87;Niger;0;0;0;0
141;87;Palestina;0;0;0;0
142;87;Panamá;0;0;0;0
143;87;Papua Nova Guiné;0;0;0;0
144;87;Paraguai;0;0;0;0
145;87;Porto Rico;0;0;0;0
146;87;Quirguistão;0;0;0;0
147;87;República Centro-Africana;0;0;0;0;RSA
148;87;República Democrática do Congo;0;0;0;0
149;87;República Dominicana;0;0;0;0;DOM
150;87;Ruanda;0;0;0;0
151;87;São Tomé e Príncipe;0;0;0;0
152;87;Senegal;0;0;0;0
153;87;Serra Leoa;0;0;0;0
154;87;Síria;0;0;0;0
155;87;Somália;0;0;0;0
156;87;Tajiquistão;0;0;0;0
157;87;Tanzânia;0;0;0;0
158;87;Togo;0;0;0;0
159;87;Uruguai;0;0;0;0
160;87;Zâmbia;0;0;0;0
161;87;Zimbabuê;0;0;0;0
