,NOCCode,Países,População,Ouro Tokyo,Prata Tokyo,Bronze Tokyo,Total medalhas Tokyo,Ranking medalhas Tokyo,Ouro paralimpíadas,Prata paralimpíadas,Bronze paralimpíadas,Total medalhas paralimpíadas,Ranking medalhas paralimpíadas,Ranking IDH global 2019,IDH 2019,Ouro Rio,Prata Rio,Bronze Rio,Total medalhas Rio,Ranking IDH global 2014,IDH 2014,Total medalhas,Ranking total olimpíadas,População por medalhas,Ranking pop por medalha
45,SRB,Serbia and Montenegro,10832545,3,1,5,9,26,2,3,1,6,45,64,0.806,2,4,2,8,66,0.771,2,33,5416272,117
46,NOR,Norway,5005700,4,2,2,8,29,2,0,2,4,47,1,0.957,0,0,4,4,1,0.944,521,44,9607,2
47,AUT,Austria,8452835,1,1,5,7,33,1,5,3,9,49,18,0.922,0,0,1,1,23,0.885,319,68,26497,7
48,SWE,Sweden,9490683,3,6,0,9,26,1,5,2,8,50,7,0.945,2,6,3,11,14,0.907,652,24,14556,4
49,GRE,Greece,10787690,2,1,1,4,47,1,3,7,11,51,32,0.888,3,1,2,6,29,0.865,116,41,92997,33
50,KAZ,Kazakhstan,16718000,0,0,8,8,29,1,3,1,5,52,51,0.825,3,5,10,18,56,0.788,77,15,217116,51
51,FIN,Finland,5407040,0,0,2,2,66,1,3,1,5,52,11,0.938,0,0,1,1,24,0.883,470,71,11504,3
52,ETH,Ethiopia,84320987,1,1,2,4,47,1,0,0,1,59,173,0.485,1,2,5,8,174,0.442,53,31,1590962,95
53,MGL,Mongolia,2736800,0,1,3,4,47,1,0,0,1,59,99,0.737,0,1,1,2,90,0.727,26,58,28338,36
54,ARG,Argentina,40117096,0,1,2,3,60,0,5,4,9,63,46,0.845,3,1,0,4,40,0.836,74,50,542122,70
55,EGY,Egypt,81927000,1,1,4,6,39,0,5,2,7,64,116,0.707,0,0,3,3,108,0.69,29,51,2825068,110
56,CRO,Croatia,4290612,3,3,2,8,29,0,3,4,7,65,43,0.851,5,3,2,10,47,0.818,44,29,97513,34
57,GEO,Georgia,4469200,2,5,1,8,29,0,3,0,3,67,61,0.812,2,1,4,7,76,0.754,32,36,139662,45
